field,value,rationale
filename,bible_ohienko_1988.sqlite,"Имя следует из точного перевода и года, а не из общего языка."
module_id,ohienko_1988,Стабильный lowercase ID точного издания.
code,OH1988,Короткий уникальный пользовательский код точного издания.
language,uk,BCP 47/ISO 639-1 код украинского языка.
title,Біблія Огієнка (ювілейне видання 1988 року),Краткое отображаемое название с годом точной редакции.
translation,"Біблія або Книги Святого Письма Старого і Нового Заповіту, переклад Івана Огієнка",Полное название утверждённого перевода.
edition,ювілейне видання 1988 року,Утверждённое владельцем точное юбилейное издание.
canon,protestant_66,Полный протестантский канон из 66 книг.
target_versification,kjv_protestant,Зафиксированная KJV/протестантская сетка приложения.
schema_version,3,Актуальная прикладная схема KJV/LXX_TR/BibleModuleDB.
target_books,66,Количество книг целевого эталона.
target_chapters,1189,Количество глав целевого эталона.
target_verses,31102,Количество стиховых позиций целевого эталона.
target_verse_keys,31102,Количество уникальных упорядоченных ключей.
