verse_ref,verse_key,source_range,source_percent,source_tr_only,source_kjv_only,kjv_text,tr_text,kjv_strongs_all,tr_strongs_all,tr_recall_filtered,kjv_precision_filtered,f1_filtered,jaccard_filtered,ordered_f1_filtered,alt_aware_f1_filtered,classification_number,classification,confidence,flags,conclusion_ru,source_links,proposed_correct_content
Mat.5.48,HYR,<50%,42.86,"[{""count"":2,""strong"":""G1510""},{""count"":2,""strong"":""G4771""}]","[{""count"":1,""strong"":""G2071""},{""count"":1,""strong"":""G2076""},{""count"":1,""strong"":""G3772""},{""count"":1,""strong"":""G5210""},{""count"":1,""strong"":""G5216""},{""count"":1,""strong"":""G5618""}]","Be G2071 ye G5210 therefore G3767 perfect, G5046 even as G5618 your G5216 Father G3962 which is G3588 in G1722 heaven G3772 is G2076 perfect. G5046",ἔσεσθε G1510 οὖν G3767 ὑμεῖς G4771 τέλειοι G5046 ὁ G3588 πατὴρ G3962 ὑμῶν G4771 ὁ G3588 τέλειός G5046 ἐστιν G1510,G2071 G5210 G3767 G5046 G5618 G5216 G3962 G3588 G1722 G3772 G2076 G5046,G1510 G3767 G4771 G5046 G3588 G3962 G4771 G3588 G5046 G1510,0.42857142857142855,0.3333333333333333,0.375,0.23076923076923078,0.375,0.875,9,Артефакт исходной метрики или списка исключений,medium,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.8750); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.12.30,I5C,<50%,44.44,"[{""count"":3,""strong"":""G1473""},{""count"":2,""strong"":""G1510""}]","[{""count"":3,""strong"":""G1700""},{""count"":1,""strong"":""G2076""},{""count"":1,""strong"":""G5607""}]",He that is G5607 not G3361 with G3326 me G1700 is G2076 against G2596 me; G1700 and G2532 he that gathereth G4863 not G3361 with G3326 me G1700 scattereth abroad. G4650,Ὁ G3588 μὴ G3361 ὢν G1510 μετ᾽ G3326 ἐμοῦ G1473 κατ᾽ G2596 ἐμοῦ G1473 ἐστιν G1510 καὶ G2532 ὁ G3588 μὴ G3361 συνάγων G4863 μετ᾽ G3326 ἐμοῦ G1473 σκορπίζει G4650,G5607 G3361 G3326 G1700 G2076 G2596 G1700 G2532 G4863 G3361 G3326 G1700 G4650,G3588 G3361 G1510 G3326 G1473 G2596 G1473 G1510 G2532 G3588 G3361 G4863 G3326 G1473 G4650,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2857142857142857,0.3333333333333333,1.0,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=1.0000); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.23.11,IGQ,<50%,20.0,"[{""count"":1,""strong"":""G1510""},{""count"":1,""strong"":""G3173""},{""count"":2,""strong"":""G4771""}]","[{""count"":1,""strong"":""G2071""},{""count"":1,""strong"":""G3187""},{""count"":2,""strong"":""G5216""}]",But G1161 he that is greatest G3187 among you G5216 shall be G2071 your G5216 servant. G1249,ὁ G3588 δὲ G1161 μείζων G3173 ὑμῶν G4771 ἔσται G1510 ὑμῶν G4771 διάκονος G1249,G1161 G3187 G5216 G2071 G5216 G1249,G3588 G1161 G3173 G4771 G1510 G4771 G1249,0.2,0.2,0.2,0.1111111111111111,0.2,0.8,9,Артефакт исходной метрики или списка исключений,medium,kjv_strong_word_alignment_suspicious;classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.8000); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mark.9.43,IYU,<50%,0.0,"[{""count"":1,""strong"":""G565""},{""count"":1,""strong"":""G609""},{""count"":1,""strong"":""G762""},{""count"":1,""strong"":""G846""},{""count"":1,""strong"":""G1067""},{""count"":1,""strong"":""G1417""},{""count"":1,""strong"":""G1510""},{""count"":1,""strong"":""G1525""},{""count"":1,""strong"":""G2192""},{""count"":1,""strong"":""G2222""},{""count"":1,""strong"":""G2570""},{""count"":1,""strong"":""G2948""},{""count"":1,""strong"":""G4442""},{""count"":1,""strong"":""G4624""},{""count"":2,""strong"":""G4771""},{""count"":2,""strong"":""G5495""}]",[],"And if thy hand offend thee, cut it off: it is better for thee to enter into life maimed, than having two hands to go into hell, into the fire that never shall be quenched:",καὶ G2532 ἐὰν G1437 σκανδαλίζῃ G4624 σε G4771 ἡ G3588 χείρ G5495 σου G4771 ἀπόκοψον G609 αὐτήν G846 καλόν G2570 ἐστίν G1510 κυλλὸν G2948 εἰσελθεῖν G1525 εἰς G1519 τὴν G3588 ζωὴν G2222 ἢ G2228 τὰς G3588 δύο G1417 χεῖρας G5495 ἔχοντα G2192 ἀπελθεῖν G565 εἰς G1519 τὴν G3588 γέενναν G1067 εἰς G1519 τὸ G3588 πῦρ G4442 τὸ G3588 ἄσβεστον G762,,G2532 G1437 G4624 G4771 G3588 G5495 G4771 G609 G846 G2570 G1510 G2948 G1525 G1519 G3588 G2222 G2228 G3588 G1417 G5495 G2192 G565 G1519 G3588 G1067 G1519 G3588 G4442 G3588 G762,0.0,0.0,0.0,0.0,0.0,0.0,4,Подтверждённая ошибка Strong-разметки,high,kjv_strong_complete_omission;kjv_strong_word_alignment_suspicious,Текст стиха и его индекс подтверждены; 0% вызваны полным отсутствием Strong-тегов в исходном eBible USFX. Текущий CrossWire KJV 3.1 содержит разметку этого же английского текста.,https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,"{""basis"":""CrossWire KJV 3.1 word-level Strong markup"",""proposed_strong_sequence"":[""G2532"",""G1437"",""G4771"",""G3588"",""G5495"",""G4624"",""G4771"",""G609"",""G846"",""G609"",""G1510"",""G2570"",""G4771"",""G1525"",""G1519"",""G3588"",""G2222"",""G2948"",""G2228"",""G2192"",""G1417"",""G3588"",""G5495"",""G565"",""G1519"",""G3588"",""G1067"",""G1519"",""G3588"",""G4442"",""G3588"",""G762""],""text"":""And if thy hand offend thee, cut it off: it is better for thee to enter into life maimed, than having two hands to go into hell, into the fire that never shall be quenched:"",""warning"":""Sequence is evidence for correction; exact reader-format placement must preserve phrase-level OSIS spans.""}"
Mark.11.24,J15,<50%,44.44,"[{""count"":1,""strong"":""G1510""},{""count"":1,""strong"":""G3745""},{""count"":1,""strong"":""G3778""},{""count"":2,""strong"":""G4771""}]","[{""count"":1,""strong"":""G2071""},{""count"":1,""strong"":""G2983""},{""count"":1,""strong"":""G4336""},{""count"":2,""strong"":""G5213""}]","Therefore G1223 I say G3004 unto you, G5213 What things soever G3956 ye desire, G154 when ye pray, G4336 believe G4100 that G3754 ye receive G2983 them, and G2532 ye G5213 shall have G2071 them.",διὰ G1223 τοῦτο G3778 λέγω G3004 ὑμῖν G4771 πάντα G3956 ὅσα G3745 ἄν G302 αἰτεῖσθε G154 πιστεύετε G4100 ὅτι G3754 καὶ G2532 ἔσται G1510 ὑμῖν G4771,G1223 G3004 G5213 G3956 G154 G4336 G4100 G3754 G2983 G2532 G5213 G2071,G1223 G3778 G3004 G4771 G3956 G3745 G302 G154 G4100 G3754 G2532 G1510 G4771,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2857142857142857,0.4444444444444444,0.7777777777777778,6,Различие редакций,medium,kjv_text_source_conflict,"Локальный текст дословно воспроизводит зафиксированный eBible источник, но одна или обе контрольные KJV-редакции дают иное чтение либо пунктуационно-лексическую нормализацию. Это редакционное различие, а не установленный технический пропуск.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Luke.4.7,JCF,<50%,40.0,"[{""count"":1,""strong"":""G1510""},{""count"":1,""strong"":""G1799""},{""count"":1,""strong"":""G4771""}]","[{""count"":1,""strong"":""G2071""},{""count"":1,""strong"":""G3450""},{""count"":1,""strong"":""G3956""},{""count"":1,""strong"":""G4675""}]","If G1437 thou G4771 therefore G3767 wilt worship G4352 me, G3450 all G3956 shall be G2071 thine. G4675",σὺ G4771 οὖν G3767 ἐὰν G1437 προσκυνήσῃς G4352 ἐνώπιον G1799 ἔσται G1510 σοῦ G4771,G1437 G4771 G3767 G4352 G3450 G3956 G2071 G4675,G4771 G3767 G1437 G4352 G1799 G1510 G4771,0.4,0.3333333333333333,0.36363636363636365,0.2222222222222222,0.36363636363636365,0.7272727272727273,9,Артефакт исходной метрики или списка исключений,medium,,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.7273); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Luke.6.41,JFO,<50%,0.0,"[{""count"":1,""strong"":""G80""},{""count"":1,""strong"":""G991""},{""count"":1,""strong"":""G1385""},{""count"":1,""strong"":""G2398""},{""count"":1,""strong"":""G2595""},{""count"":1,""strong"":""G2657""},{""count"":1,""strong"":""G3756""},{""count"":2,""strong"":""G3788""},{""count"":1,""strong"":""G4771""},{""count"":1,""strong"":""G5101""}]",[],"And why beholdest thou the mote that is in thy brother’s eye, but perceivest not the beam that is in thine own eye?",Τί G5101 δὲ G1161 βλέπεις G991 τὸ G3588 κάρφος G2595 τὸ G3588 ἐν G1722 τῷ G3588 ὀφθαλμῷ G3788 τοῦ G3588 ἀδελφοῦ G80 σου G4771 τὴν G3588 δὲ G1161 δοκὸν G1385 τὴν G3588 ἐν G1722 τῷ G3588 ἰδίῳ G2398 ὀφθαλμῷ G3788 οὐ G3756 κατανοεῖς G2657,,G5101 G1161 G991 G3588 G2595 G3588 G1722 G3588 G3788 G3588 G80 G4771 G3588 G1161 G1385 G3588 G1722 G3588 G2398 G3788 G3756 G2657,0.0,0.0,0.0,0.0,0.0,0.0,4,Подтверждённая ошибка Strong-разметки,high,kjv_strong_complete_omission;kjv_strong_word_alignment_suspicious,Текст стиха и его индекс подтверждены; 0% вызваны полным отсутствием Strong-тегов в исходном eBible USFX. Текущий CrossWire KJV 3.1 содержит разметку этого же английского текста.,https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,"{""basis"":""CrossWire KJV 3.1 word-level Strong markup"",""proposed_strong_sequence"":[""G1161"",""G5101"",""G991"",""G3588"",""G2595"",""G3588"",""G1722"",""G4771"",""G3588"",""G80"",""G3588"",""G3788"",""G1161"",""G2657"",""G3756"",""G3588"",""G1385"",""G3588"",""G1722"",""G3588"",""G2398"",""G3788""],""text"":""And why beholdest thou the mote that is in thy brother’s eye, but perceivest not the beam that is in thine own eye?"",""warning"":""Sequence is evidence for correction; exact reader-format placement must preserve phrase-level OSIS spans.""}"
Luke.11.23,JMD,<50%,44.44,"[{""count"":3,""strong"":""G1473""},{""count"":2,""strong"":""G1510""}]","[{""count"":3,""strong"":""G1700""},{""count"":1,""strong"":""G2076""},{""count"":1,""strong"":""G5607""}]",He that is G5607 not G3361 with G3326 me G1700 is G2076 against G2596 me: G1700 and G2532 he that gathereth G4863 not G3361 with G3326 me G1700 scattereth. G4650,ὁ G3588 μὴ G3361 ὢν G1510 μετ᾽ G3326 ἐμοῦ G1473 κατ᾽ G2596 ἐμοῦ G1473 ἐστιν G1510 καὶ G2532 ὁ G3588 μὴ G3361 συνάγων G4863 μετ᾽ G3326 ἐμοῦ G1473 σκορπίζει G4650,G5607 G3361 G3326 G1700 G2076 G2596 G1700 G2532 G4863 G3361 G3326 G1700 G4650,G3588 G3361 G1510 G3326 G1473 G2596 G1473 G1510 G2532 G3588 G3361 G4863 G3326 G1473 G4650,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2857142857142857,0.3333333333333333,1.0,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=1.0000); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Luke.17.36,JTK,<50%,0.0,"[{""count"":1,""strong"":""G68""},{""count"":1,""strong"":""G863""},{""count"":1,""strong"":""G1417""},{""count"":1,""strong"":""G1520""},{""count"":1,""strong"":""G2087""},{""count"":1,""strong"":""G3880""}]",[],"Two men shall be in the field; the one shall be taken, and the other left.",δύο G1417 ἐν G1722 ἀγρῷ G68 εἷς G1520 παραλημφθήσεται G3880 καὶ G2532 ὁ G3588 ἕτερος G2087 ἀφεθήσεται G863,,G1417 G1722 G68 G1520 G3880 G2532 G3588 G2087 G863,0.0,0.0,0.0,0.0,0.0,0.0,4,Подтверждённая ошибка Strong-разметки,high,kjv_strong_complete_omission;kjv_strong_word_alignment_suspicious,Текст стиха и его индекс подтверждены; 0% вызваны полным отсутствием Strong-тегов в исходном eBible USFX. Текущий CrossWire KJV 3.1 содержит разметку этого же английского текста.,https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,"{""basis"":""CrossWire KJV 3.1 word-level Strong markup"",""proposed_strong_sequence"":[""G1417"",""G1510"",""G1722"",""G3588"",""G68"",""G3588"",""G1520"",""G3880"",""G2532"",""G3588"",""G2087"",""G863""],""text"":""Two men shall be in the field; the one shall be taken, and the other left."",""warning"":""Sequence is evidence for correction; exact reader-format placement must preserve phrase-level OSIS spans.""}"
Luke.22.28,JZ9,<50%,33.33,"[{""count"":1,""strong"":""G1473""},{""count"":1,""strong"":""G1510""},{""count"":1,""strong"":""G3165""},{""count"":1,""strong"":""G4771""}]","[{""count"":1,""strong"":""G1700""},{""count"":1,""strong"":""G2075""},{""count"":1,""strong"":""G3450""},{""count"":1,""strong"":""G5210""}]",Ye G5210 are G2075 they which G3588 have continued G1265 with G3326 me G1700 in G1722 my G3450 temptations. G3986,ὑμεῖς G4771 δέ G1161 ἐστε G1510 οἱ G3588 διαμεμενηκότες G1265 μετ᾽ G3326 ἐμοῦ G1473 ἐν G1722 τοῖς G3588 πειρασμοῖς G3986 μου G3165,G5210 G2075 G3588 G1265 G3326 G1700 G1722 G3450 G3986,G4771 G1161 G1510 G3588 G1265 G3326 G1473 G1722 G3588 G3986 G3165,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,1.0,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=1.0000); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
