verse_ref,verse_key,projection_status,source_refs,continuous_series,classification_number,classification,confidence,evidence_note,conclusion_ru,source_links
Exod.28.23,1SD,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,Exod.28.23,,10,Недостаточно данных,medium,"Follow-up span review found no distinct target segment: GreekDoc ex28 marks the row N/A in the displayed LXX controls, and CrossWire Exod.28.23 tokens are already assigned to neighboring KJV-grid targets 28.24, 28.25, and 28.29.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.28.26,1SG,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,Exod.28.23,Exod.28.26-28,10,Недостаточно данных,medium,"Follow-up span review found no distinct target segment: GreekDoc ex28 marks the row N/A in the displayed LXX controls, and CrossWire Exod.28.23 tokens are already assigned to neighboring KJV-grid targets 28.24, 28.25, and 28.29.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.28.27,1SH,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,Exod.28.23,Exod.28.26-28,10,Недостаточно данных,medium,"Follow-up span review found no distinct target segment: GreekDoc ex28 marks the row N/A in the displayed LXX controls, and CrossWire Exod.28.23 tokens are already assigned to neighboring KJV-grid targets 28.24, 28.25, and 28.29.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.28.28,1SI,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,Exod.28.23,Exod.28.26-28,10,Недостаточно данных,medium,"Follow-up span review found no distinct target segment: GreekDoc ex28 marks the row N/A in the displayed LXX controls, and CrossWire Exod.28.23 tokens are already assigned to neighboring KJV-grid targets 28.24, 28.25, and 28.29.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.32.9,1W0,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,,,10,Недостаточно данных,medium,"GreekDoc ex32.html has Alexandrinus N/A and Vaticanus text repeating the these-are-your-gods clause from the neighboring context, not the stiffnecked-people KJV semantic row.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.35.8,1YK,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,,,10,Недостаточно данных,medium,"GreekDoc ex35.html has Alexandrinus emerald-stones material and Vaticanus N/A, not the oil-for-light and spices KJV semantic row.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.35.18,1YU,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,,,10,Недостаточно данных,medium,"GreekDoc ex35.html fills the control cells with shifted LXX 35.17 inventory material, not the tabernacle/court pins and cords KJV semantic row.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.10,1ZL,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.10 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.11,1ZM,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.11 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.12,1ZN,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.12 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
